brand,model,year,kilometer,engine,transmission,fuel,nb_of_doors,price
Toyota,Camry LE FWD,2023,"11,802",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$24,691"
Toyota,RAV4 Limited AWD,2014,"113,059",176 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$15,300"
Toyota,Tacoma Double Cab V6 4WD,2015,"98,726",236 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$24,800"
Toyota,Camry SE Nightshade AWD,2023,"5,006",202 hp 2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$29,925"
Toyota,Camry Hybrid LE FWD,2019,"45,227",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$21,250"
Toyota,Camry XLE V6,2012,"70,000",268 hp 3.5L V6,Automatic,Gasoline,4 doors,"$13,990"
Toyota,Sienna Limited 7-Passenger,2015,"131,807",266 hp 3.5L V6,6-Speed Automatic Overdrive,Gasoline,4 doors,"$17,999"
Toyota,4Runner SR5 Premium 4WD,2020,"17,903",270 hp 4L V6,Automatic,Gasoline,4 doors,"$39,990"
Toyota,Tacoma SR V6 Double Cab 4WD,2023,"20,420",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$38,000"
Toyota,Camry SE Nightshade FWD,2020,"86,994",2.5L I4,Automatic,Gasoline,4 doors,"$19,999"
Toyota,4Runner SR5 Premium 4WD,2022,"40,239",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$39,975"
Toyota,Camry SE FWD,2021,"81,593",2.5L I4,Automatic,Gasoline,4 doors,"$17,995"
Toyota,Corolla LE Plus,2015,"139,887",132 hp 1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$9,995"
Toyota,Tundra SR5 CrewMax 5.7L,2019,"198,100",381 hp 5.7L V8,6-Speed Automatic,Gasoline,4 doors,"$18,495"
Toyota,RAV4 LE AWD,2023,"18,027",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$27,844"
Toyota,Tacoma TRD Pro Double Cab 4WD,2020,"17,352",278 hp 3.5L V6,Manual,Gasoline,4 doors,"$39,991"
Toyota,RAV4 Hybrid XLE Premium AWD,2021,"67,331",2.5L I4 Hybrid,Automatic,Hybrid,4 doors,"$29,489"
Toyota,Tundra SR5 CrewMax 5.7L FFV 4WD,2018,"164,422",381 hp 5.7L V8 Flex Fuel Vehicle,Automatic,Flex Fuel Vehicle,4 doors,"$23,674"
Toyota,RAV4 XLE FWD,2022,"48,135",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$23,922"
Toyota,Corolla S,2008,"141,799",126 hp 1.8L I4,4-Speed Automatic,Gasoline,4 doors,"$5,999"
Toyota,Prius XLE AWD,2023,"13,975",2L I4 Hybrid,Automatic,Hybrid,4 doors,"$34,900"
Toyota,Camry LE FWD,2023,"20,232",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$22,453"
Toyota,Sienna LE 7-Passenger,2006,"207,220",215 hp 3.3L V6,5-Speed Automatic Overdrive,Gasoline,4 doors,"$3,500"
Toyota,Prius Four,2010,"130,604",134 hp 1.8L I4 Hybrid,Automatic,Hybrid,4 doors,"$8,998"
Toyota,Camry SE,2017,"124,509",178 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$12,993"
Toyota,Sienna Limited 7-Passenger,2013,"112,386",266 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$14,995"
Toyota,RAV4 XLE FWD,2021,"61,462",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$21,645"
Toyota,Corolla SE FWD,2022,"32,029",2L I4,Continuously Variable Transmission,Gasoline,4 doors,"$21,740"
Toyota,4Runner TRD Off-Road Premium 4WD,2023,"33,772",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$38,988"
Toyota,Avalon XLE,2013,"197,777",268 hp 3.5L V6,Automatic,Gasoline,4 doors,"$9,588"
Toyota,Corolla S Plus,2016,"157,285",132 hp 1.8L I4,6-Speed Manual,Gasoline,4 doors,"$9,800"
Toyota,Camry SE,2011,"184,517",169 hp 2.5L I4,6-Speed Automatic Overdrive,Gasoline,4 doors,"$6,200"
Toyota,RAV4 TRD Off-Road AWD,2022,"28,461",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$34,999"
Toyota,Tacoma TRD Off Road V6 Double Cab 4WD,2017,"75,531",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$29,999"
Toyota,4Runner Limited,2003,"230,173",245 hp 4L V6,4-Speed Automatic,Gasoline,4 doors,"$5,799"
